epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.84821,1.59499,3.7214,1.38431,0.00443,0.53333,0.04806,0.03146,0.62042,3.86957,0.97037,2.858e-05,2.858e-05,2.858e-05
2,19.2776,1.38285,3.4386,1.30884,0.00622,0.85556,0.09247,0.06432,0.60234,3.74581,0.95069,7.00353e-05,7.00353e-05,7.00353e-05
3,28.7048,1.37048,3.18159,1.3053,0.007,0.96667,0.12318,0.10573,0.76078,3.53892,0.93196,0.000109793,0.000109793,0.000109793
4,37.9916,1.1934,2.83713,1.17692,0.00785,0.96667,0.17164,0.1449,0.82146,3.46433,0.94236,0.000147853,0.000147853,0.000147853
5,47.3237,1.30486,2.56291,1.22794,0.0093,0.96667,0.21299,0.16574,0.78671,3.40685,0.9436,0.000184215,0.000184215,0.000184215
6,56.5321,1.13163,2.09495,1.14425,0.00979,0.96667,0.16132,0.11723,0.72724,3.35851,0.91645,0.00021888,0.00021888,0.00021888
7,65.8458,1.21634,2.18911,1.23737,0.00852,0.96667,0.14427,0.11337,0.65045,3.34041,0.86863,0.000251847,0.000251847,0.000251847
8,75.151,1.13144,2.02768,1.16395,0.00806,0.96667,0.10681,0.07834,0.57584,3.37269,0.84788,0.000283116,0.000283116,0.000283116
9,84.4922,1.14793,2.03319,1.18065,0.0079,0.96667,0.06496,0.04881,0.60682,3.36192,0.8761,0.000312688,0.000312688,0.000312688
10,93.8257,1.16953,1.99135,1.19298,0.00906,0.96667,0.07584,0.05768,0.5855,3.3715,0.87057,0.000340562,0.000340562,0.000340562
11,103.155,1.05627,2.0025,1.10147,0.00987,0.96667,0.12226,0.09294,0.66977,3.28002,0.91028,0.000366739,0.000366739,0.000366739
12,112.55,1.02094,1.71554,1.11218,0.38054,0.41111,0.14043,0.11063,0.65437,3.19159,0.89645,0.000391217,0.000391217,0.000391217
